pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV11_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV11_H1	RAW	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV11_H1	MTBseq	GATK	TOTAL	TOTAL	snp	781	0	19	0.97625	1.0	0.9881249999999999
snpmutator	snpmutator_SV11_H1	MTBseq	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV11_H1	MTBseq	GATK	TOTAL	TOTAL	indel	35	62	15	0.7	0.36082474226804123	0.5304123711340206
snpmutator	snpmutator_SV11_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV11_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	freebayes	TOTAL	TOTAL	snp	792	156	8	0.99	0.8354430379746836	0.9127215189873418
snpmutator	snpmutator_SV12_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	freebayes	TOTAL	TOTAL	indel	34	68	16	0.68	0.3333333333333333	0.5066666666666667
snpmutator	snpmutator_SV12_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV12_H1	genotube	freebayes	TOTAL	TOTAL	snp	792	0	8	0.99	1.0	0.995
snpmutator	snpmutator_SV12_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	genotube	freebayes	TOTAL	TOTAL	indel	34	64	16	0.68	0.3469387755102041	0.5134693877551021
snpmutator	snpmutator_SV12_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV12_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	793	11	7	0.99125	0.986318407960199	0.9887842039800995
snpmutator	snpmutator_SV12_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	34	64	16	0.68	0.3469387755102041	0.5134693877551021
snpmutator	snpmutator_SV12_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	GATK	TOTAL	TOTAL	snp	792	0	8	0.99	1.0	0.995
snpmutator	snpmutator_SV12_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV12_H1	RAW	GATK	TOTAL	TOTAL	indel	34	64	16	0.68	0.3469387755102041	0.5134693877551021
